qid,P236,P7363,Lpt,P17,P8608
,2178-4388,2178-4388,@rgumentandu,Q155,container_sn65vsvf6rg63kmkn23dxc4654
,2317-9783,2317-9783,Anais Colóquio Internacional de Literatura Comparada,Q155,container_s52ntdbp5jf2vnsd4v6lbgekqy
,2318-2911,2318-2911,Revista Direito & Inovação,Q155,container_s3vqlzl775f57eyrsgrnwgyjru
,2236-9929,1678-1244,Cadernos da Fucamp,Q155,container_rtpioizxejdsnkxm7mz3u4ipj4
,2318-275X,2318-275X,Revista Catarse,Q155,container_rqpjqdfuubcxzmrgsvbotrxk6a
,2318-4663,2318-4663,Anais da Semana da Image,Q155,container_rnmzmgrs3jfq5ovzeywcelyu4e
,2316-1221,2316-1221,Ignis,Q155,container_rkctoazsarfpjcsfo2rj5fvnbe
,2318-2253,2318-2253,Revista de Defesa da Concorrência,Q155,container_r7jhe34xlbgendmfmsea73tol4
,2318-0013,2318-0013,Pro-Docência,Q155,container_r2nb7tvpbjfjho7n4fk63czbqy
,2236-7942,2236-7942,Revista do Curso de Direito da UNIABE,Q155,container_r2dxvdj3yzcdndjupqxkp66dya
,1982-4858,1415-255X,Revista jurídica(Blumenau. Online,Q155,container_qi4teelh7jeirncbn5t3rincpa
,2318-6526,2318-6526,Revista de Direito Internacional dos Direitos Humanos,Q155,container_pxszc6nkonfmtltgzie6hhc2fm
,2318-0633,2318-0633,Anais do Simpósio Sustentabilidade e Contemporaneidade nas Ciências Sociai,Q155,container_pwosikghcvh4xpju6zxn7zxwom
,2318-9215,2318-9215,Paralaxe,Q155,container_ppvmcdzcbfbp3dyh2pbj7cj3ta
,2318-0463,2176-0152,Foco,Q155,container_pp3kstsrhzdtxbvtkrqcwydffa
,2318-6488,2318-6488,Anais do Seminário Teoria Jurídica, Cidadania e Globalização,Q155,container_pnjhwy6qxbaepm36h25ovfhx4q
,2318-3462,2318-3462,Fraternitas in Praxi,Q155,container_pnajmln7wvdh3giqeni3mkhjbq
,2316-7793,1519-1265,Terra Brasilis(São Paulo. Online,Q155,container_pezijr3dezanfm4kfom6ylythq
,2318-0765,2318-0765,Trilha Digital,Q155,container_pelqrdjazfbebonk55q5ainbku
,2317-949X,2317-949X,Desafio,Q155,container_p6wcugdjajbh5dszliq75ygjn4
,2318-1303,2318-1303,Revista Lepa,Q155,container_owr5ihrtofbpbd7cq65ae2vdl4
,2177-4838,2177-4838,Inquietud,Q155,container_oha7bcyiazavlewgqjqxolbzhe
,1981-7177,1981-7177,Contemporânea,Q155,container_o6zspjfpgjhsnok5kq7qhlp7hm
,1678-2399,1678-2399,Relatórios de Pesquisa em Engenharia de Produção,Q155,container_mrhjlbkaeja7hgran4asdlarvq
,2238-6939,1980-2072,Meritum,Q155,container_m546o4vqfjakvhtpelbinivsna
,2316-6010,2238-9083,SIG,Q155,container_lnflfiputzbrfpqoawj545t6tm
,2177-1235,1983-5175,Revista Brasileira de Cirurgia Plástica,Q155,container_lgzo2vewy5a4pinfesjhgd2l6e
,2317-0123,1983-9456,PMKT,Q155,container_lfju5c36cnhdhoyjwhqehdptk4
,1677-163X,1677-1621,Kant e-prints(Online,Q155,container_l345zfsohzc3nbq3dvioh6gcxe
